id,title,owner,status,reason,release,priority,tag,component,submitted_date
1207664287,Support for PCIe RO in Traffic Controller,tjonnala,complete,,dmrhub-a0,2-high,"prod_arch IO,fw.ucode_no,fw.xucode_no,fw.tcode_no,fw.pnp_emul_affecting,fw.ocode_no,fw.acode_no,fw.zcode_no,fw.mdiv_no,fw.cbbpcode_no,fw.mcheck_no,fw.primecode_no,fw.bios_no,fw.s3m_no,fw.icode_no,fw.mdiv_affecting,fw.ltm_no,fw.pss_no,fw.simics_yes",soc.HIOP_Agent_4.0_IP#,2016-02-11 00:27:14.567
1209620071,Implement out of order completions for inbound reads,rsiva,complete,,dmrhub-a0,2-high,"prod_arch IO,PERF_ARCH,Temp_Track,PNP_PERF,fw.tcode_no,fw.ocode_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.pnp_emul_affecting,fw.acode_no,fw.bios_no,fw.mdiv_no,fw.cbbpcode_no,fw.mcheck_no,fw.primecode_no,fw.pss_yes,DMR_VIRTUALIZATION,fw.s3m_no,fw.icode_no,fw.simics_yes",soc.HIOP_Agent_4.0_IP#,2017-01-28 05:59:28.367
2201971776,Preserve PCIe Headers for P2P txns through the Root Complex,dml,complete,,dmrhub-a0,2-high,"prod_arch IO,SCF_IP_FILED,NOPERF,fw.tcode_no,fw.ocode_no,fw.zcode_no,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.pnp_emul_no,fw.acode_no,fw.mdiv_yes,fw.mdiv_affecting,fw.cbbpcode_no,fw.mcheck_no,fw.primecode_no,fw.s3m_no,fw.io_general_affecting,fw.io_general_commit,fw.icode_no,fw.bios_no,fw.pss_no,fw.simics_yes",soc.HIOP_Agent_4.0_IP#,2018-01-24 07:01:35.417
2206273506,[IOMMU: P1] Secure-ATS feature for PCIe or CXL.io devices,rsiva,complete,,dmrhub-a0,2-high,"prod_arch SECURITY_FEATURE,need_lz,prod_arch IO CICG,PnP,PNP_PERF,fw.tcode_no,fw.ocode_no,fw.zcode_no,simics feature,fw.ucode_no,fw.xucode_no,fw.ltm_no,fw.pnp_emul_affecting,fw.acode_no,fw.mdiv_yes,fw.mdiv_affecting,fw.cbbpcode_no,fw.primecode_no,fw.pss_yes,DMR_VIRTUALIZATION,fw.s3m_no,fw.icode_no,fw.mcheck_no,fw.bios_yes,fw.bios_commit,fw.simics_yes,fw.acm_no,VAL_REVIEW_PENDING,SOCVAL_IMH1_PO",soc.IOMMU_Server_5.0#,2018-11-13 22:16:07.303
2207998942,Multiple MCA domains for scalable MCA solution,rrshah1,complete,,dmrhub-a0,1-showstopper,"prod_arch RAS,IP_Contract,deg_quality,deg_quality_avail,HPAR,DMR_AF_RAS_BlastRadius,fw.tcode_no,PRI_1,fw.zcode_no,fw.primecode_no,fw.ucode_no,IMH_CONSTRUCTION_P1,fw.pnp_emul_no,fw.mcheck_no,fw.acode_no,fw.cbbpcode_no,fw.mdiv_no,fw.xucode_no,fw.pss_yes,fw.bios_yes,fw.s3m_no,fw.bios_commit,fw.icode_no,fw.simics_yes,fw.ocode_no,fw.ltm_no",soc.RAS_4.0#,2019-07-16 23:30:21.940
2209984084,"Consolidate RAS functions across Ubox, Punit, IEH into IEH IP/RAS IP",gachalla,complete,,dmrhub-a0,1-showstopper,"prod_arch RAS,IP_Contract,transformation,HPAR,DMR_AF_RAS_BlastRadius,deg_quality,fw.tcode_no,PRI_0,fw.zcode_no,fw.ucode_no,IMH_CONSTRUCTION_P1,fw.ocode_yes,fw.pnp_emul_no,fw.acode_no,fw.cbbpcode_no,PM_VALPREP_EVAL,fw.mdiv_no,fw.mcheck_no,fw.xucode_no,fw.pss_yes,fw.s3m_no,fw.simics_yes,fw.bios_commit,fw.icode_no,fw.ocode_commit,fw.primecode_no,fw.ltm_no,PM_VALPREP_EVAL=R",soc.RAS_4.0#,2019-12-13 01:45:39.403
13010165028,Redefining of UXI crypto initialization mechanism,mraghuna,complete,,dmrhub-a0,2-high,security_ccb,soc.UCIE_1.0_p1276.4opt4_V1#,2022-09-18 17:50:00.200
13010255963,"[DMR-CCB] DMR PatchLoad protocol improvements, aligning boot time and seamless IP Patch",rrshah1,complete,,dmrhub-a0,2-high,"CCB_FEATURE_INT,fw.mdiv_no,fw.s3m_commit,fw.primecode_affecting,fw.ocode_yes,fw.zcode_yes,fw.icode_yes,RECCB_NO_RELEASE_DATE,UV1+,simics_yes,fw.s3m_complete",soc.S3M_3.0_FW#,2022-10-30 14:33:53.737
13010863177,Identification of the UXI peer by LL_LP,ajaganna,complete,,dmrhubmax-a0,3-medium,"IMH1_2S_Phase1,NO_MCP,vt.uxi,POC_UXI",soc.top,2023-05-15 19:55:11.443
13010913548,MCHECK_TDX_TR P2: the capability registers in ULA must be R/O,vmabraha,complete,,dmrhubmax-a0,2-high,"MCHECK_TDX_TR,IMH1_2S_Phase1,vt.security,POC_SEC",soc.UXI_LinkAgent_UIO_1.0#,2023-05-31 12:27:09.310
13010918337,P1 MCHECK_TDX_TR Exact definition of consistency checks between UBR instances of single iMH,djkurian,complete,,dmrhub-a0,1-showstopper,MCHECK_TDX_TR,soc.top,2023-06-01 16:28:28.257
13010936114,P1 MCHECK_TDX_TR UXI route tables consistency checks,djkurian,complete,,dmrhub-a0,3-medium,"MCHECK_TDX_TR,IMH1_2S_Phase2a,POC_SEC",soc.top,2023-06-06 23:21:46.967
