tp_title,tpf_title,tcd_title,nwp_tc_id,nwp_title,status,val_env,automation,owner_team,nwp_cmd,from_id,dmr_tc_id,dmr_tc_title,tr_count,dmr_tr_id,dmr_tr_date,dmr_cmd,all_dmr_cmds,match_type
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,22022421931,[BEAT][FV PM][AR] Validate RAPL=0 during OS Boot,open,silicon,,soc.pm,,14025224297,14025224297,[BEAT][FV PM][AR] Validate RAPL=0 during OS Boot,0,,,,,direct-no-tr
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,22022421962,RAPL Cold TDP checkout,open,virtual_platform,yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702725,14019702725,RAPL Cold TDP checkout,1,14022141709,2025-07-11,thermalManagement.py,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,22022421965,RAPL Response time and quality,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702784,14019702784,RAPL Response time and quality,2,22020938914,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,22022421976,Sweep CPU RAPL limits,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702293,14019702293,Sweep CPU RAPL limits,2,22020938634,2025-08-31,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,22022421978,Throttling below Pm,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702797,14019702797,Throttling below Pm,2,22020938635,2025-11-04,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,22022421989,Verify capability to change rapl limits to custom-defined ones,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702288,14019702288,Verify capability to change rapl limits to custom-defined ones,2,22020938636,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,16030715720,[PSS]PEM - Socket RAPL PL1,open,"silicon,virtual_platform",,soc.pm,,,,,0,,,,,no-from-id
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,16030715722,[PSS]PEM - Socket RAPL PL2,open,"silicon,virtual_platform",,soc.pm,,,,,0,,,,,no-from-id
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,16030715724,[PSS]Perf Status - Socket RAPL,open,"silicon,virtual_platform",,soc.pm,,,,,0,,,,,no-from-id
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,16030715726,[PSS]PLR - Socket RAPL PL2,open,"silicon,virtual_platform",,soc.pm,,,,,0,,,,,no-from-id
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,16030715728,[PSS]PLR- Socket RAPL PL1,open,"silicon,virtual_platform",,soc.pm,,,,,0,,,,,no-from-id
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Algorithm & Functionality Verification,16030715734,[PSS]Verify Mistletoe PRT,rejected,"silicon,virtual_platform",,soc.pm,,,,,0,,,,,no-from-id
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022421992,RAPL X Pkgc,rejected,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,16023021724,16023021724,RAPL X Pkgc,2,22020938915,2025-08-28,,mem_thermals_debug.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022421995,RAPL X Security (Mistletoe PRT) - Verification of Energy Fuzzing,open,virtual_platform,yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,16023021675,16023021675,RAPL X Security (Mistletoe PRT) - Verification of Energy Fuzzing,1,14022141915,2025-01-28,mem_thermals_debug.py,mem_thermals_debug.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022421998,Socket Rapl x Core Traffic x IO Traffic,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019703119,14019703119,Socket Rapl x Core Traffic x IO Traffic,2,22020938916,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022422001,Socket Rapl x RACL x Psys,rejected,virtual_platform,yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019703139,14019703139,Socket Rapl x RACL x Psys,1,14022141593,2025-07-11,thermalManagement.py,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022422003,Socket Rapl x Reset,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019703129,14019703129,Socket Rapl x Reset,2,22020938917,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022422008,Socket Rapl x UFS,rejected,virtual_platform,yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019703142,14019703142,Socket Rapl x UFS,1,14022141610,2025-07-11,thermalManagement.py,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022422010,Socket rapl x Pmax,open,virtual_platform,yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019703152,14019703152,Socket rapl x Pmax,1,14022141630,2025-07-11,thermalManagement.py,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022422013,Socket rapl x Prochot,open,virtual_platform,yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019703144,14019703144,Socket rapl x Prochot,1,14022141643,2025-07-11,thermalManagement.py,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Cross-products,22022422015,Socket rapl x SST TF,open,virtual_platform,yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019703160,14019703160,Socket rapl x SST,1,14022141668,2025-07-11,thermalManagement.py,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Fuse and Bios knobs,22022422017,RAPL - Checkout fuses related to RAPL,open,"silicon,virtual_platform",yes,soc.pm,flexconPM.py,14019702124,14019702124,RAPL - Checkout fuses related to RAPL,2,22020938918,2025-09-03,,mem_thermals_debug.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Fuse and Bios knobs,22022422018,RAPL BIOS Knobs Verification,open,"silicon,virtual_platform",yes,soc.pm,flexconPM,14019702157,14019702157,RAPL BIOS Knobs Verification,2,22020938919,2025-08-28,flexconPM,flexconPM | thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL HPM Verification,22022422019,RAPL HPM verification,open,"emulation.hsle,silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702991,14019702991,RAPL HPM verification,2,22020938637,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Registers Verification - CSR and TPMI,22022422023,RAPL Energy status reporting,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702874,14019702874,RAPL Energy status reporting,2,22020938920,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Registers Verification - CSR and TPMI,22022422029,RAPL MSR checks - Negative test case,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,16023021634,16023021634,RAPL MSR checks - Negative test case,2,22020938921,2025-08-28,pythonsv,mem_thermals_debug.py | pythonsv,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Registers Verification - CSR and TPMI,22022422032,RAPL PEM (PnP Excursion Monitor),open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702946,14019702946,RAPL PEM (PnP Excursion Monitor),2,22020938638,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Registers Verification - CSR and TPMI,22022422034,RAPL PL1/PL2 limits and Tau Verification,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702859,14019702859,RAPL PL1/PL2 limits and Tau Verification,2,22020938955,2025-09-10,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Registers Verification - CSR and TPMI,22022422036,RAPL Perf limit reasons - Fine & Coarse,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702906,14019702906,RAPL Perf limit reasons - Fine & Coarse,2,22020938639,2025-09-10,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Registers Verification - CSR and TPMI,22022422038,RAPL Perf status,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702897,14019702897,RAPL Perf status,2,22020938640,2025-08-28,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL Registers Verification - CSR and TPMI,22022422040,Socket Rapl verification - OOB,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702960,14019702960,Socket Rapl verification - OOB,2,22020938641,2025-08-31,,thermalManagement.py,direct
[NWP PM] RAPL (Running Average Power Limit,[NWP PM] Socket RAPL,Socket RAPL SVID Reporting Verification,22022422042,RAPL IMON Addressing and Telemetry,open,"silicon,virtual_platform",yes,soc.pm,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,14019702265,14019702265,RAPL IMON Addressing and Telemetry,19,22022615313,2026-06-30,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3,python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3 | thermalManagement.py,direct
