"tp_title","tpf_title","tcd_title","nwp_tc_id","nwp_title","val_env","automation","nwp_cmd","dmr_cmd","all_dmr_cmds","tr_count","dmr_tr_date"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL Algorithm & Functionality Verification","22022421962","RAPL Cold TDP checkout","virtual_platform","yes","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","thermalManagement.py","thermalManagement.py","1","2025-07-11"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL Cross-products","22022421995","RAPL X Security (Mistletoe PRT) - Verification of Energy Fuzzing","virtual_platform","yes","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","mem_thermals_debug.py","mem_thermals_debug.py","1","2025-01-28"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL Cross-products","22022422010","Socket rapl x Pmax","virtual_platform","yes","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","thermalManagement.py","thermalManagement.py","1","2025-07-11"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL Cross-products","22022422013","Socket rapl x Prochot","virtual_platform","yes","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","thermalManagement.py","thermalManagement.py","1","2025-07-11"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL Cross-products","22022422015","Socket rapl x SST TF","virtual_platform","yes","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","thermalManagement.py","thermalManagement.py","1","2025-07-11"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL Fuse and Bios knobs","22022422018","RAPL BIOS Knobs Verification","silicon,virtual_platform","yes","flexconPM","flexconPM","flexconPM | thermalManagement.py","2","2025-08-28"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL Registers Verification - CSR and TPMI","22022422029","RAPL MSR checks - Negative test case","silicon,virtual_platform","yes","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","pythonsv","mem_thermals_debug.py | pythonsv","2","2025-08-28"
"[NWP PM] RAPL (Running Average Power Limit","[NWP PM] Socket RAPL","Socket RAPL SVID Reporting Verification","22022422042","RAPL IMON Addressing and Telemetry","silicon,virtual_platform","yes","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3","python runPmx.py -x dmr.xml -p cpu_rapl -tM 6 -M 3 | thermalManagement.py","19","2026-06-30"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] PMAX (Maximum Power Protection)","MT Pmax Verification","22022421764","PMAX CONTROL Register Verification","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p pmax -tM 60","pmax_pmx.py","pmax_pmx.py | thermalManagement.py","2","2025-09-20"
"[NWP PM] Power Control (SIMPL/PMAX/SVID)","[NWP PM] PMAX (Maximum Power Protection)","MT Pmax Verification","22022421770","[Silicon Only]: PMAX Soft Throttle Verification using FT PMAX INJECT","silicon,virtual_platform","yes","runPmx.py -x dmr.xml -p pmax -tM 60","pmax_pmx.py","pmax_pmx.py | thermalManagement.py","2","2025-08-28"
